"","Year","Data.Value"
"1593",2015,24
"1594",2015,24
"1595",2015,25
"1596",2015,23
"1597",2016,24
"1598",2016,25
"1599",2016,23
"1600",2016,23
"1601",2016,24
"1602",2016,24
"1603",2016,23
"1604",2016,27
"1605",2016,25
"1606",2016,24
"1607",2016,23
"1608",2016,24
"1609",2017,22
"1610",2017,22
"1611",2017,26
"1612",2017,26
"1613",2017,24
"1614",2017,24
"1615",2017,27
"1616",2017,23
"1617",2017,23
"1618",2015,58
"1619",2015,58
"1620",2015,62
"1621",2015,66
"1622",2015,70
"1623",2015,72
"1624",2015,74
"1625",2015,80
"1626",2015,79
"1627",2015,76
"1628",2015,79
"1629",2015,77
"1630",2016,79
"1631",2016,83
"1632",2016,84
"1633",2016,84
